2023-04-22-12-23-34.fit***#slx99***Freiburg im Breisgau***13***438***01:02:02***12,6***FALSE
2023-04-18-14-26-35.fit***#slx99***Dischingen--Ulm***64,36***144***02:30:24***25,7***FALSE
2023-04-13-14-09-24.fit***#slx99***Ulm--Dischingen***65,47***132***02:35:47***25,2***FALSE
2023-04-04-12-50-22.fit***#slx99***Freiburg im Breisgau***42,55***752***02:19:04***18,4***FALSE
2023-03-29-14-49-32.fit***#slx99***Freiburg im Breisgau***50,43***1046***02:38:53***19***FALSE
2023-03-28-14-31-37.fit***#slx99***Freiburg im Breisgau***25,56***326***01:19:54***19,2***FALSE
2023-03-22-11-33-06.fit***#slx99***Freiburg im Breisgau***25,31***732***01:51:38***13,6***FALSE
2023-03-21-14-10-53.fit***#slx99***Freiburg im Breisgau***34,6***817***02:12:46***15,6***FALSE
2023-03-16-10-32-20.fit***#slx99***Freiburg im Breisgau***56,51***1317***03:34:10***15,8***FALSE
2023-03-13-14-08-47.fit***#slx99***Freiburg im Breisgau***36,34***1170***02:45:34***13,2***FALSE
2023-03-12-15-25-31.fit***#slx99***Freiburg im Breisgau***14,88***512***01:10:18***12,7***FALSE
2023-03-10-15-15-56.fit***#slx99***Freiburg im Breisgau***14,93***162***00:51:07***17,5***FALSE
2023-03-09-15-03-11.fit***#slx99***Freiburg im Breisgau***20,15***134***00:52:26***23,1***FALSE
2023-02-25-13-01-01.fit***#slx99***Freiburg im Breisgau***44,46***1278***03:16:01***13,6***FALSE
2023-02-23-17-38-42.fit***#slx99***Freiburg im Breisgau***18,4***468***01:08:24***16,1***FALSE
