2026-03-29-13-14-23.fit***#terra***Metzingen Standard***23,51***541***01:16:25***18,5***FALSE
2026-03-19-14-43-25.fit***#terra***SAISONAUFTAKT 2026 #2***33,46***621***01:43:16***19,4***FALSE
2026-03-18-15-05-09.fit***#terra***SAISONAUFTAKT 2026 #1***21,5***404***01:08:37***18,8***FALSE
2025-10-29-10-17-29.fit***#terra***Metzingen Std + Glems Flugfeld vor WFNFJYYIBH***28,43***743***01:29:25***19,1***FALSE
2025-10-25-14-18-00.fit***#terra***Metzingen Std + Hülbener Steige***28,14***623***01:26:23***19,6***FALSE
2025-10-18-13-02-05.fit***#terra***Metzingen Standard***23,61***526***01:08:23***20,7***FALSE
2025-10-05-16-10-47.fit***#terra***Metzingen Std + Glems Flugfeld***26,51***711***01:27:46***18,1***FALSE
2025-09-28-15-26-04.fit***#terra***Metzingen Standard***23,74***516***01:08:51***20,7***FALSE
2025-09-15-16-27-51.fit***#terra***Metzingen--Neuffen--Frickenhausen***28,19***422***01:12:53***23,2***FALSE
2025-09-13-15-42-08.fit***#terra***Kappis--Dettingen--Glems***35,72***856***01:51:47***19,2***FALSE
2025-09-06-13-56-06.fit***#terra***Gravel/Offroad-Radfahren***20,17***479***01:05:56***18,4***FALSE
2025-08-26-19-56-37.fit***#terra***Burger-Essen Dede Neckartenzlingen RÜCK***8,3***61***00:21:46***22,9
2025-08-26-17-53-25.fit***#terra***Burger-Essen Dede Neckartenzlingen HIN***8,15***3***00:19:59***24,5
2025-08-23-12-32-39.fit***#terra***DettingerSteige-FlugfeldGlems 1k ext.***41,1***1059***02:02:46***20,1***FALSE
2025-08-17-16-21-09.fit***#terra***Mtzng-Mittelstadt-Mtzng Postkarte Ramona***12,26***106***00:27:22***26,9***FALSE
2025-08-16-09-43-17.fit***#terra***Sommerrunde Alb/Bäcker***54,8***763***02:12:29***24,8***FALSE
2025-08-12-16-43-27.fit***#terra***Feierabendrunde***36,11***710***01:43:08***21***FALSE
2025-08-07-16-24-57.fit***#terra***Feierabendrunde 1k***38,29***1006***01:58:29***19,4***FALSE
2025-08-04-16-28-36.fit***#terra***Feierabendrunde***33,46***751***01:40:58***19,9***FALSE
2025-07-31-17-40-00.fit***#terra***Feierabendrunde***25,84***567***01:13:36***21,1***FALSE
2025-07-19-10-30-06.fit***#terra***DettingerSteige-FlugfeldGlems rev***38,61***1006***02:01:40***19***FALSE
2025-07-15-17-09-34.fit***#terra***Abendrunde Hülben***27,09***560***01:13:17***22,2***FALSE
2025-07-06-14-28-40.fit***#terra***DepressionHerzFUCKOFF-2***51,45***1118***02:34:15***20***FALSE
2025-07-05-11-54-03.fit***#terra***DepressionHerzFUCKOFF-1***38,34***754***01:59:35***19,2***FALSE
2025-06-29-08-25-21.fit***#terra***Juni für Auszeichnungen 400km/20h***38,16***183***01:54:50***19,9***FALSE
2025-06-28-08-48-10.fit***#terra***Münsingen--Ulm Dede***57,67***309***02:52:58***20***FALSE
2025-06-27-08-55-16.fit***#terra***Juni für 7100hm***43,2***928***02:10:03***19,9***FALSE
2025-06-26-11-24-04.fit***#terra***Juni für 7100hm***55,46***1008***02:32:44***21,8***FALSE
2025-06-21-07-44-03.fit***#terra***Regeneration***15,69***261***00:46:14***20,4***FALSE
2025-06-16-16-30-43.fit***#terra***DettingerSteige-FlugfeldGlems***38,18***1002***01:56:52***19,6***FALSE
2025-06-14-08-47-07.fit***#terra***DettingerSteige-FlugfeldGlems ext***42,15***1060***02:07:53***19,8***FALSE
2025-06-11-14-38-24.fit***#terra***nachUrlaubHandyRamonaOrbea1k-Runde***45,82***1124***02:35:12***17,7***FALSE
2025-06-01-09-07-18.fit***#exceed***Juni-Auftakt Marathon.light***64,31***1529***03:17:42***19,5***FALSE
2025-05-27-16-57-42.fit***#terra***Abendrunde easy***28,05***270***01:05:23***25,7***FALSE
2025-05-26-16-12-43.fit***#terra***Abendrunde extended***27,41***662***01:25:23***19,3***FALSE
2025-05-20-16-02-50.fit***#terra***DettingerSteige-FlugfeldGlems***38,61***1027***01:58:46***19,5***FALSE
2025-05-18-10-06-27.fit***#terra***Waldenbucher Gravel***66,25***1053***03:02:39***21,8***FALSE
2025-05-17-09-43-31.fit***#terra***DettingerSteige-FlugfeldGlems***38,62***1050***02:01:36***19,1***FALSE
2025-05-11-15-41-34.fit***#terra***Katerrunde nach Frankfurt/Main***16,74***326***00:50:09***20***FALSE
2025-05-02-10-38-07.fit***#exceed***2. Mai August-2024-Vibes***55,1***1425***02:58:04***18,6***FALSE
2025-05-01-12-20-44.fit***#terra***1. Mai Schlafmangelrunde***19,35***423***00:59:04***19,7***FALSE
2025-04-28-16-27-11.fit***#terra***Feierabendrunde Terra-Terrain***27,15***473***01:19:45***20,4***FALSE
2025-04-22-16-43-25.fit***#terra***Metzingen Flugfeld n=2***36,04***927***01:50:51***19,5***FALSE
